Trip ID,Booking User ID,Pick Up Latitude,Pick Up Longitude,Drop Off Latitude,Drop Off Longitude,Pick Up Address,Drop Off Address,Trip Date and Time,Total Passengers,Age
734889,599898,30.2958783,-97.7440765,30.2848691,-97.7355144,"Shoal Crest, Rio Grande St, Austin, United States, 78705","Robert L. Patton Building (RLP), East 23rd Street, Austin, TX, USA",9/8/25 11:47,9,40
734888,599898,30.2847998,-97.735696,30.2957108,-97.7442129,"University Campus, E 23rd St, Austin, United States, 78712","Cabo Bob's Burritos, Rio Grande Street, Austin, TX, USA",9/8/25 11:07,9,40
734886,40479,30.270065,-97.750424,30.2655835,-97.7333707,"Market District, W 6th St, Austin, United States, 78701","601 Brushy Street, Austin, TX, USA",9/8/25 2:18,7,24
734882,188142,30.2874096,-97.7451611,30.2669106,-97.7391248,"West Campus, W 23rd St, Austin, United States, 78705","The Aquarium on 6th, East 6th Street, Austin, TX, USA",9/8/25 0:21,10,20
734880,40479,30.2656735,-97.7336251,30.2662955,-97.7451516,"East End, E 6th St, Austin, United States, 78702","Coconut Club, Colorado Street, Austin, TX, USA",9/7/25 23:29,8,24
734879,599870,30.3581818,-97.5130096,30.27027,-97.749694,"13608 Clara Martin, Manor, TX, USA","Buford's, West 6th Street, Austin, TX, USA",9/7/25 23:06,10,34
734874,209067,30.2578876,-97.7263104,30.2492276,-97.7495251,"East Cesar Chavez, E Cesar Chavez St, Austin, United States, 78702","1415 S Congress Ave, Austin, TX 78704, United States",9/7/25 22:15,9,25
734871,413064,30.2928093,-97.7398999,30.2873853,-97.7424943,"North University, W 29th St, Austin, United States, 78705","The Castilian, San Antonio Street, Austin, TX, USA",9/7/25 21:52,5,24
734870,447916,30.281902,-97.7056621,30.2847095,-97.7434527,"East Austin, Harvey St, Austin, United States, 78702","The Callaway House Austin, West 22nd Street, Austin, TX, USA",9/7/25 21:58,8,24
734869,83752,30.2514927,-97.7021275,30.2891178,-97.7480087,"Govalle, E Cesar Chavez St, Austin, United States, 78702","The Villas at San Gabriel, San Gabriel Street, Austin, TX, USA",9/7/25 21:41,11,22
734867,413064,30.2652581,-97.7453008,30.2925935,-97.7394252,"2nd Street District, Colorado St, Austin, United States, 78701","Scottish Rite Dormitory, West 27th Street, Austin, TX, USA",9/7/25 21:34,7,24
734863,427447,30.1633148,-97.7891551,30.2903076,-97.7430597,"South Austin, S IH-35 Service Rd, Austin, United States, 78748","Rambler Apartments, Seton Avenue, Austin, TX, USA",9/7/25 21:25,6,19
